,Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,TARGET_x,TARGET_y,TARGET_z
282,0.99698865,0.4791882,0.9831808,0.5132075,-0.93269444,-0.5790424,-0.6167866,0.9895139,-0.29719576,-0.9991737,-62.979916,2.3315597,11.229145
978,0.1033773,0.9891302,-0.97884893,0.9999189,0.96904945,0.3098591,0.55891573,0.9983864,-0.57643986,-0.9760518,-28.555168,4.5329685,18.28293
304,-0.9882261,0.9797467,-0.99880683,0.99666137,0.973449,-0.16492155,-0.53232825,0.59676564,-0.48050824,0.9342451,14.712988,8.90247,19.79344
192,-0.98047876,0.9638579,-0.9983005,0.99970675,0.991261,0.55383337,0.42697424,0.9256411,-0.6400254,0.16210811,5.0061026,1.7316955,20.014893
112,-0.87669915,0.9944078,-0.996847,0.9998975,0.96869284,-0.30503502,0.023389244,0.99032885,-0.471645,-0.7623728,-7.679491,11.271192,18.680075
360,-0.38923487,-0.9960677,0.9943509,-0.9811556,0.9445166,0.9962563,0.8903113,-0.9786391,-0.13304774,0.24392186,-1.8111998,-73.56865,3.176866
376,0.6591068,-0.9096088,0.8849062,-0.9778523,-0.4741031,0.86950314,-0.23246391,-0.3418988,0.98702794,-0.9874238,-27.471622,-33.270832,10.162083
708,-0.97000533,0.9954011,-0.99809253,0.99921864,0.835886,-0.76436865,-0.5748347,0.9261572,-0.17719847,0.53475296,7.904775,15.479238,19.476492
913,-0.981581,0.990328,-0.99879736,0.9998733,0.97342145,-0.039410703,0.6802819,0.9445708,-0.06418845,-0.40582103,-1.372072,3.4488442,12.425252
243,0.15584262,-0.99316585,0.08326144,0.45428994,0.9909813,0.9994503,-0.33274305,-0.9002236,-0.9734009,0.97199994,10.977781,-70.42327,28.08684
880,-0.9949338,0.9111132,-0.99912,0.99819267,0.98666245,0.70520943,0.45564133,0.61442643,-0.40862986,0.81601524,10.84111,-4.8848386,14.060348
212,0.9910632,-0.69856465,0.9947145,-0.7388234,-0.96882725,-0.2946597,0.17623587,0.9493087,0.23732778,-0.99892527,-60.749084,-12.40549,4.3544683
325,-0.9939804,0.9412381,-0.999086,0.9993356,0.9848308,0.57770413,0.6198588,0.77268004,-0.40634295,0.6258401,8.016743,-2.8819952,13.974132
536,0.21898408,-0.9906524,-0.25527933,0.7972404,0.9923705,0.9994947,-0.13867858,-0.7705862,-0.96461207,0.93954796,7.1530185,-65.26984,27.915611
873,-0.98886794,0.9957617,-0.999453,0.9992186,0.39194778,-0.932073,-0.13543649,0.5722486,0.7380926,0.6378527,9.41733,14.546575,7.017673
480,-0.9964791,0.95522106,-0.9993072,0.9983529,0.97723126,0.35206774,0.6015759,0.4277066,0.14112215,0.83156264,9.533221,-2.9653428,7.9320374
